subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
ccN(C)C,0.0,1.0,0.0,0.0,0.0,,0.05080567580567581
CCNC,0.8333333333333334,2.25,0.8418521897563208,0.0,2.0,0.0,0.03526334776334776
cccc(N)c,0.0,0.5,0.0,0.0,0.0,,0.03421115921115921
cc(C)cc[nH],0.0,0.25,0.0,0.0,0.0,,0.027637485970819303
ccc[nH],0.0,1.75,0.0,0.0,0.0,,0.026605339105339108
CCC,4.5,0.0,0.0,0.0,5.0,0.0,0.026074234407567738
cc(NC)c,0.0,1.0,0.0,0.0,0.0,,0.025974025974025972
cc(C=O)c,0.0,1.25,0.0,0.3333333333333333,0.0,0.0,0.023845598845598847
ccCCN,0.0,0.25,0.0,0.0,0.0,,0.022528459195125868
CN,0.16666666666666666,0.75,0.6840384356390417,0.0,0.0,,0.022040129182986326
ccC,0.3333333333333333,1.0,0.8112781244591328,0.6666666666666666,0.0,0.0,0.02068302068302068
ccc(O)c,0.6666666666666666,1.0,0.9709505944546685,0.6666666666666666,0.5,0.9852281360342514,0.019675591897814117
ccc(N)c,0.0,0.75,0.0,0.6666666666666666,0.0,0.0,0.017616642616642614
ccC=O,0.6666666666666666,0.5,0.9852281360342514,0.6666666666666666,0.0,0.0,0.017470853661329853
cccccc,2.8333333333333335,4.0,0.9788698505067782,3.6666666666666665,1.0,0.7495952572594798,0.016903960237293573
Cccc,0.3333333333333333,1.5,0.6840384356390417,0.0,0.5,0.0,0.016233766233766236
cccc,10.166666666666666,13.5,0.9856426982019311,15.333333333333334,15.5,0.99997892327149,0.015712682379349047
CCC=O,1.3333333333333333,0.0,0.0,0.0,0.0,,0.015379589546256213
cc(c)c,0.0,0.25,0.0,2.0,0.0,0.0,0.014850889850889849
cc(c)[nH],0.0,0.25,0.0,0.0,0.0,,0.014798781465448132
cccC=O,0.16666666666666666,1.25,0.5225593745369407,0.3333333333333333,0.0,0.0,0.014790764790764788
CC=O,0.8333333333333334,0.0,0.0,0.0,1.0,0.0,0.01443001443001443
c1ccccc1,0.8333333333333334,1.0,0.9940302114769566,0.3333333333333333,2.0,0.5916727785823274,0.014175084175084176
ccccN,0.3333333333333333,0.5,0.9709505944546685,0.3333333333333333,0.0,0.0,0.014129389129389129
cc(N)c,0.16666666666666666,0.75,0.6840384356390417,1.3333333333333333,0.0,0.0,0.013888888888888888
cc(C)c,1.6666666666666667,0.75,0.893571101654191,0.3333333333333333,0.0,0.0,0.013131313131313133
Cc,0.0,0.25,0.0,0.0,0.0,,0.013007054673721341
cc[nH]c,0.0,0.25,0.0,0.0,0.0,,0.012606220939554273
ccccc,5.666666666666667,4.25,0.9852281360342515,12.666666666666666,5.5,0.8846293067903075,0.012501002084335418
ccNC,0.0,1.5,0.0,0.0,0.0,,0.012385762385762387
cc(CC)c,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.012205387205387202
cC(=O)cc,0.0,0.75,0.0,0.0,0.0,,0.012135241301907969
cCc(c)cc,0.0,0.25,0.0,0.0,0.0,,0.01164421997755331
c[nH]ccCC,0.0,0.25,0.0,0.0,0.0,,0.011503928170594837
CCO,1.0,3.25,0.787126586201269,0.0,3.0,0.0,0.011223344556677891
cNCcc,0.0,0.25,0.0,0.0,0.0,,0.011183261183261184
cccc(C)cc,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.010702260702260703
cC=O,0.16666666666666666,0.75,0.6840384356390417,0.6666666666666666,0.0,0.0,0.010101010101010102
CCN,1.3333333333333333,2.0,0.9709505944546685,0.0,4.0,0.0,0.009820426487093154
Ccccccc,0.0,0.25,0.0,0.0,0.0,,0.0098003848003848
ccc[nH]c,0.0,0.5,0.0,0.0,0.0,,0.0094997594997595
cNCC,0.16666666666666666,0.5,0.8112781244591328,0.0,0.5,0.0,0.009139009139009138
cc,0.3333333333333333,0.5,0.9709505944546685,0.0,1.0,0.0,0.008658008658008658
ccO,0.5,0.25,0.9182958340544894,0.0,0.0,,0.008417508417508417
CCN(C)CC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.008403078403078402
cOCC,0.0,0.75,0.0,0.0,0.0,,0.008297258297258296
ccccC,0.5,0.0,0.0,0.0,0.0,,0.008277216610549944
cccccO,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.008277216610549944
cccO,0.5,0.25,0.9182958340544894,0.6666666666666666,0.5,0.9852281360342514,0.007996632996632997
ccc,8.833333333333334,8.5,0.9997332130219014,11.333333333333334,9.0,0.9904799742690307,0.00769400352733686
cN(C)CC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.007154882154882155
NCCNC=O,0.0,0.25,0.0,0.0,0.0,,0.007154882154882155
CNC,0.3333333333333333,2.25,0.5547781633412736,0.0,0.0,,0.00689434022767356
ccNCCN,0.0,0.25,0.0,0.0,0.0,,0.006734006734006734
cNCCNCC,0.0,0.25,0.0,0.0,0.0,,0.006493506493506493
ccoc,0.0,0.25,0.0,0.0,0.0,,0.006493506493506493
ccccccC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.006313131313131313
