subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cC=O,0.0000,2.0000,0.0000,0.6667,0.0000,0.0000,0.0717
ccC=O,0.0000,1.7500,0.0000,0.6667,0.0000,0.0000,0.0642
CNC,0.6667,5.7500,0.4812,0.0000,2.0000,0.0000,0.0436
CCC,5.5000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0373
ccC(N)=O,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0257
ccccN,0.0000,0.7500,0.0000,0.3333,0.0000,0.0000,0.0215
cc[nH],0.0000,1.0000,0.0000,0.0000,0.0000,,0.0204
cc(N)c,0.0000,0.7500,0.0000,0.3333,0.0000,0.0000,0.0198
CCcc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0183
ccco,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0158
CO,1.5000,0.0000,0.0000,3.3333,0.0000,0.0000,0.0156
cC(=O)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0145
CC(C)C,3.3333,0.0000,0.0000,0.0000,0.0000,,0.0144
ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0143
ccCC,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0141
CccO,0.6667,0.0000,0.0000,0.0000,0.0000,,0.0135
CCNCCN,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0105
cCCN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0104
CCC=O,0.6667,0.0000,0.0000,0.0000,0.0000,,0.0103
CC(=O)O,1.5000,0.0000,0.0000,0.0000,0.0000,,0.0101
C1CNCCN1,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0101
Ccc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0092
CCN(C)C,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0090
cC(c)=O,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0072
cC(=O)ccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
cccC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
cocC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
cc(C)cccC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0058
CC=O,0.8333,0.0000,0.0000,0.0000,1.5000,0.0000,0.0058
CNCCNcc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0055
CC(O)CN,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0051
CC(=O)N,0.6667,0.0000,0.0000,0.0000,1.5000,0.0000,0.0045
c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0045
c[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0043
Ccccc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cNCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cc[nH]cc,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0042
CC(C)N,0.6667,0.0000,0.0000,0.0000,1.0000,0.0000,0.0038
CNccccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0038
cccOCC,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0038
cc(C=O)o,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cccCN,0.1667,0.0000,0.0000,0.3333,0.0000,0.0000,0.0036
ccc[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cNCCN,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0036
cOcc,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0036
co,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
CC(C)O,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,0.0034
cc(CN)o,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0033
ccCCC,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0029
ccc(c)[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0027
CCCc,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0027
cCC(C)C,0.6667,0.0000,0.0000,0.0000,0.0000,,0.0027
cc[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0027
Ccccc,0.0000,0.2500,0.0000,0.0000,1.0000,0.0000,0.0026
cc(O)ccC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0024
cOCCO,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0022
ccoc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0022
cCC,0.6667,0.0000,0.0000,0.0000,0.0000,,0.0007
