subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
CNC,1.1666666666666667,4.75,0.7162583911075451,0.0,2.0,0.0,0.059505371172037844
Cccc,0.0,0.75,0.0,0.6666666666666666,0.5,0.9852281360342514,0.04629469296135963
ccccc,4.666666666666667,5.25,0.9975025463691154,7.333333333333333,6.5,0.9973806632063373,0.0450937950937951
ccC=O,0.16666666666666666,0.75,0.6840384356390417,1.0,0.0,0.0,0.030142696809363472
ccc,10.333333333333334,12.0,0.995978956518722,13.666666666666666,11.0,0.9915528503834039,0.02991221741221741
cC(N)=O,0.8333333333333334,1.0,0.9940302114769566,0.3333333333333333,0.0,0.0,0.02641494308160975
cccN,0.16666666666666666,1.0,0.5916727785823274,1.6666666666666667,0.5,0.7793498372920852,0.026134359467692804
CC,1.1666666666666667,1.75,0.9709505944546688,0.0,1.5,0.0,0.02491181657848324
ccc[nH]c,0.0,0.75,0.0,0.0,0.0,,0.023188231521564854
ccc(C)c,0.8333333333333334,0.5,0.954434002924965,0.0,0.0,,0.022546897546897548
cccC,3.3333333333333335,2.5,0.9852281360342515,0.3333333333333333,0.0,0.0,0.021863075196408528
cN(C)CC,0.16666666666666666,0.75,0.6840384356390417,0.0,0.0,,0.021308321308321308
NC=O,1.5,1.75,0.9957274520849256,1.0,0.5,0.9182958340544894,0.019721019721019722
cc(C)c[nH],0.0,0.25,0.0,0.0,0.0,,0.017496392496392496
ccccC,1.0,0.25,0.7219280948873623,0.0,0.0,,0.016175645342312008
C=O,0.3333333333333333,1.0,0.8112781244591328,0.3333333333333333,0.5,0.9709505944546685,0.015755170755170755
cc(C=O)c,0.0,0.25,0.0,0.0,0.0,,0.015650953984287314
cccC=O,0.0,0.5,0.0,0.0,0.0,,0.014209555876222541
Ccc[nH],0.0,0.5,0.0,0.0,0.0,,0.014029180695847363
c1ccccc1,0.6666666666666666,0.75,0.9975025463691153,0.6666666666666666,0.0,0.0,0.013227513227513227
CC(C)C,3.5,0.0,0.0,0.0,0.0,,0.012506012506012507
CCO,1.0,3.0,0.8112781244591328,0.0,2.0,0.0,0.01242584575917909
cccc,9.5,10.25,0.9989595114657399,13.333333333333334,12.5,0.9992492479956566,0.01234567901234568
ccC,1.5,3.0,0.9182958340544894,1.0,0.0,0.0,0.012121212121212121
cC(c)=O,0.0,0.5,0.0,0.0,0.0,,0.012065095398428734
cCCN,0.0,0.75,0.0,0.0,0.0,,0.011784511784511785
cc[nH]c,0.0,0.5,0.0,0.0,0.0,,0.011503928170594837
cc,0.5,1.25,0.8631205685666311,0.6666666666666666,1.0,0.9709505944546685,0.010886644219977554
ccc[nH]cc,0.0,0.25,0.0,0.0,0.0,,0.010822510822510822
CccN,0.16666666666666666,0.0,0.0,0.0,0.0,,0.010802469135802469
CCC,3.5,0.0,0.0,0.0,3.0,0.0,0.01063011063011063
cccO,0.3333333333333333,0.75,0.8904916402194913,1.0,0.5,0.9182958340544894,0.010401635401635401
cC=O,0.0,2.25,0.0,0.3333333333333333,0.0,0.0,0.010101010101010102
cccOC,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.010101010101010102
cc(N)c,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.009620009620009622
CCN(C)C,0.3333333333333333,0.25,0.9852281360342514,0.0,0.0,,0.008978675645342313
CC(O)CO,0.16666666666666666,0.0,0.0,0.0,0.0,,0.008577841911175244
cc[nH],0.0,0.25,0.0,0.0,0.0,,0.00831729998396665
cccccc,1.1666666666666667,2.75,0.8786744932173094,2.6666666666666665,3.5,0.9867867202680318,0.008210410988188768
cc(O)cC,0.3333333333333333,0.0,0.0,0.0,0.0,,0.00813692480359147
cC(c)C,0.3333333333333333,0.0,0.0,0.0,0.0,,0.00813692480359147
ccCC,1.1666666666666667,0.5,0.8812908992306926,0.0,0.0,,0.008096841430174764
cCC,0.5,0.0,0.0,0.0,0.0,,0.007856341189674522
cOCC,0.6666666666666666,1.25,0.9321115676166747,0.0,0.5,0.0,0.007856341189674522
ccc(c)[nH],0.0,0.5,0.0,0.0,0.0,,0.00771604938271605
ccc(N)c,0.3333333333333333,0.5,0.9709505944546685,0.3333333333333333,0.0,0.0,0.007716049382716049
CN(C)C,0.3333333333333333,0.5,0.9709505944546685,0.0,0.0,,0.007602479824702046
NCCN,0.8333333333333334,0.25,0.7793498372920852,0.0,0.5,0.0,0.007395382395382395
ccoc,0.0,0.25,0.0,0.0,0.0,,0.007295173961840627
cOC,1.5,0.75,0.9182958340544894,3.0,0.5,0.5916727785823274,0.007174923841590509
c[nH]c,0.0,0.25,0.0,0.0,0.0,,0.007154882154882155
ccc[nH],0.0,0.5,0.0,0.0,0.0,,0.006734006734006735
ccCN,0.0,0.5,0.0,0.0,0.0,,0.0066137566137566125
Cc(c)c,0.0,0.25,0.0,0.0,0.0,,0.006493506493506493
CCNCCN,0.3333333333333333,0.75,0.8904916402194913,0.0,0.0,,0.005892255892255892
ccc(c)c,0.0,0.25,0.0,1.3333333333333333,0.0,0.0,0.005892255892255892
CN,0.8333333333333334,0.5,0.954434002924965,0.0,2.0,0.0,0.005817815341624866
O=CO,3.3333333333333335,0.0,0.0,2.6666666666666665,0.0,0.0,0.005772005772005773
Ccccccc,0.0,0.25,0.0,0.0,0.0,,0.005772005772005772
CO,0.16666666666666666,0.0,0.0,2.3333333333333335,1.0,0.8812908992306926,0.005772005772005772
CNCCNC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.005651755651755652
ccccO,0.16666666666666666,0.5,0.8112781244591328,1.0,0.0,0.0,0.0056116722783389455
CNC(C)(C)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0056116722783389455
cccc(C)c,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0056116722783389455
coc,0.0,0.25,0.0,0.0,0.0,,0.005525779335303144
cNC,0.16666666666666666,0.5,0.8112781244591328,0.0,1.0,0.0,0.005411255411255412
Ccoc,0.0,0.25,0.0,0.0,0.0,,0.0053244081021858805
NCCO,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.00523088023088023
cccc[nH],0.0,0.5,0.0,0.0,0.0,,0.0044893378226711555
ccccN,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.8112781244591328,0.0044893378226711555
cCC(C)C,0.6666666666666666,0.0,0.0,0.0,0.0,,0.004329004329004329
CCCO,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.004329004329004329
cN(C)C,0.0,0.75,0.0,0.0,0.0,,0.004208754208754208
CNCC,0.0,0.25,0.0,0.0,0.0,,0.004208754208754208
CCC=O,0.3333333333333333,0.0,0.0,0.0,0.0,,0.003787878787878788
cc(C)c,1.0,0.75,0.9852281360342515,1.3333333333333333,0.0,0.0,0.003787878787878788
ccOCC,0.16666666666666666,0.5,0.8112781244591328,0.0,0.5,0.0,0.003607503607503608
cccoc,0.0,0.5,0.0,0.0,0.0,,0.003607503607503608
cNCCN,0.0,0.25,0.0,0.0,0.0,,0.003607503607503608
CNCCN,0.0,0.25,0.0,0.0,0.0,,0.003607503607503608
cCCN(C)C,0.0,0.25,0.0,0.0,0.0,,0.003607503607503607
cOccccc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.003607503607503607
ccco,0.0,1.25,0.0,0.0,0.0,,0.003367003367003367
cNCC,0.16666666666666666,0.75,0.6840384356390417,0.0,0.0,,0.003367003367003367
cC,0.5,0.25,0.9182958340544894,0.3333333333333333,0.0,0.0,0.0033670033670033664
ccO,0.5,0.25,0.9182958340544894,0.0,0.5,0.0,0.003273475495697717
ccOC,0.6666666666666666,1.25,0.9321115676166747,2.0,0.5,0.7219280948873623,0.0028860028860028864
CcccO,0.16666666666666666,0.0,0.0,0.0,0.0,,0.002805836139169472
c[nH]ccccC,0.0,0.25,0.0,0.0,0.0,,0.002705627705627705
cccCC,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0025252525252525255
C[C@@H](c)C,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0025252525252525255
cOcc,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0024050024050024047
CCCcc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0024050024050024047
C1CNCCN1,0.0,0.25,0.0,0.0,0.0,,0.0024050024050024047
ccNCCNC,0.0,0.25,0.0,0.0,0.0,,0.0024050024050024047
ccc(N)cc,0.0,0.25,0.0,0.0,0.0,,0.0024050024050024047
CC(O)CN,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0022446689113355786
ccNC,0.16666666666666666,0.75,0.6840384356390417,0.0,1.0,0.0,0.0021043771043771043
cNC=O,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.0018037518037518035
co,0.0,0.5,0.0,0.0,0.0,,0.0012025012025012026
cOCCO,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0009235209235209238
cOccc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0006012506012506012
cco,0.0,0.5,0.0,0.0,0.0,,0.0003367003367003368
ccNC=O,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0
CNc,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
ccCC(C)C,0.5,0.0,0.0,0.0,0.0,,0.0
cCNc,0.0,0.25,0.0,0.0,0.0,,0.0
ccCCC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
C[C@H](C)cc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cccccC,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
ccc(c)N,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cc(cC)N,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cCCC,0.6666666666666666,0.0,0.0,0.0,0.0,,0.0
cccN(C)C,0.0,0.25,0.0,0.0,0.0,,0.0
CC(C)N,0.5,0.0,0.0,0.0,2.5,0.0,0.0
cccc[nH]c,0.0,0.25,0.0,0.0,0.0,,0.0
ccc(NC)c,0.0,0.25,0.0,0.0,0.0,,0.0
cccccN,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
OCCO,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0
CC(C)O,0.5,0.0,0.0,0.0,2.0,0.0,0.0
CCN,1.8333333333333333,2.25,0.9924760039430819,0.0,3.5,0.0,0.0
ccNCC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccc(O)c,0.8333333333333334,0.25,0.7793498372920852,0.3333333333333333,0.5,0.9709505944546685,0.0
