subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cC=O,0.0000,2.2500,0.0000,0.6667,0.0000,0.0000,0.0414
cC,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0405
Ccccc,0.0000,0.7500,0.0000,0.6667,1.0000,0.9710,0.0308
Cccc,0.0000,0.7500,0.0000,0.3333,0.5000,0.9710,0.0299
cccOCC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0193
ccccc(N)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0193
cCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0182
ccc(c)c,0.0000,0.2500,0.0000,1.0000,0.0000,0.0000,0.0161
CNccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0151
CNCC,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0137
cccN,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0131
cc(CCN)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0127
Ccocc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0123
coc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0123
cC(=O)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0101
ccc(c)[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0099
cc(c)c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0099
CN(C)CC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0095
cC(c)=O,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0090
cc(N)c,0.0000,0.2500,0.0000,0.6667,0.0000,0.0000,0.0089
cc[nH],0.0000,0.7500,0.0000,0.0000,0.0000,,0.0084
cN(CC)CC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0083
Cco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0080
Cc(c)cccO,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0075
cNC,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0071
cc(NC=O)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0070
cc[nH]c,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0070
CN1CCNCC1,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0063
CccNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0061
ccCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
c[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0059
cccco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0049
ccOCC,0.0000,0.2500,0.0000,0.0000,1.0000,0.0000,0.0045
co,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0043
cCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cccc(O)c,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0038
Ccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cN(C)C,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0029
c1cc[nH]c1,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0027
Cc(c)cc,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0025
cNCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0022
cC(=O)NCC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0020
