iteration,n_union_subgraphs,n_train_subgraphs,n_valid_subgraphs,Accuracy,BAcc,Precision,Recall,F1_score,AUC,MCC
1,245,179,123,0.6000,0.5000,0.0000,0.0000,0.0000,0.3333,0.0000
2,227,161,121,0.4000,0.3333,0.0000,0.0000,0.0000,0.0000,-0.4082
3,204,150,115,0.6000,0.5000,0.0000,0.0000,0.0000,0.3333,0.0000
4,196,142,110,0.6000,0.5000,0.0000,0.0000,0.0000,0.1667,0.0000
5,195,145,105,0.6000,0.5000,0.0000,0.0000,0.0000,0.4167,0.0000
