subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cccC,0.5,2.25,0.6840384356390417,1.0,0.0,0.0,0.05563572230238897
ccC=O,0.5,1.0,0.9182958340544894,2.3333333333333335,0.0,0.0,0.05083974667308
ccccc,4.666666666666667,6.0,0.9886994082884974,9.0,7.0,0.9886994082884974,0.03894099727433061
cccc,10.0,13.25,0.9858587262978802,13.333333333333334,16.0,0.9940302114769566,0.029341029341029334
cccccc,3.5,2.25,0.9656361333706097,3.6666666666666665,2.0,0.9366673818775625,0.02900700122922345
ccccC,1.1666666666666667,0.5,0.8812908992306926,0.3333333333333333,0.0,0.0,0.02535072951739618
cc(N)c,0.0,1.75,0.0,0.6666666666666666,0.0,0.0,0.024270482603815938
Cc(c)c,0.0,0.75,0.0,0.6666666666666666,1.5,0.8904916402194913,0.023789482122815453
CNC,0.0,2.25,0.0,0.0,0.0,,0.023027898027898022
c[nH]c(c)c,0.0,0.25,0.0,0.0,0.0,,0.022895622895622896
cNC,0.0,0.75,0.0,0.0,0.5,0.0,0.021443001443001448
ccC,1.1666666666666667,0.75,0.9656361333706097,0.6666666666666666,0.0,0.0,0.020272166105499437
ccCC,0.5,0.0,0.0,0.0,0.0,,0.019453797231575008
cc[nH],0.0,0.75,0.0,0.0,0.0,,0.01881914381914382
ccc[nH]cc,0.0,0.25,0.0,0.0,0.0,,0.01881914381914382
ccccc(C)c,0.0,0.25,0.0,0.0,0.0,,0.018332417141940952
cccN,0.16666666666666666,0.5,0.8112781244591328,1.0,0.0,0.0,0.0180976430976431
ccCCNC,0.0,0.25,0.0,0.0,0.0,,0.015712682379349047
Cc(c)ccc,0.0,0.25,0.0,0.0,0.5,0.0,0.015542328042328043
c1ccccc1,0.6666666666666666,1.0,0.9709505944546685,0.6666666666666666,0.0,0.0,0.014458740847629738
cCCC,0.5,0.0,0.0,0.0,0.0,,0.014149430816097484
O=Cco,0.0,0.25,0.0,0.0,0.0,,0.01370851370851371
CCC,3.6666666666666665,0.0,0.0,0.0,4.5,0.0,0.01346801346801347
CCO,2.0,2.0,1.0,0.0,1.5,0.0,0.01222542889209556
ccc,8.333333333333334,9.75,0.9955683238328167,12.0,9.0,0.9852281360342515,0.011917789001122333
ccccO,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.8112781244591328,0.01152396985730319
cccc(c)c,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.011014911014911016
cc[nH]cc,0.0,0.25,0.0,0.0,0.0,,0.010902677569344236
CCNC,1.3333333333333333,2.25,0.9522656254366643,0.0,0.5,0.0,0.010101010101010102
ccO,0.5,0.5,1.0,1.0,0.0,0.0,0.009920634920634922
