subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cc(N)c,0.0000,1.7500,0.0000,0.6667,0.0000,0.0000,0.0243
Cc(c)c,0.0000,0.7500,0.0000,0.6667,1.5000,0.8905,0.0238
CNC,0.0000,2.2500,0.0000,0.0000,0.0000,,0.0230
c[nH]c(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0229
cNC,0.0000,0.7500,0.0000,0.0000,0.5000,0.0000,0.0214
cc[nH],0.0000,0.7500,0.0000,0.0000,0.0000,,0.0188
ccc[nH]cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0188
ccccc(C)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0183
ccCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0157
Cc(c)ccc,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0155
O=Cco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0137
cccc(c)c,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0110
cc[nH]cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0109
ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0094
cCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0093
cC(=O)c(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0089
NCco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0087
Cccccc,0.0000,0.2500,0.0000,0.3333,0.5000,0.9710,0.0083
ccccC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0081
cCNc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0080
CN(CC)CC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0072
cc(C=O)c,0.0000,0.5000,0.0000,0.3333,0.0000,0.0000,0.0070
Ccocc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0069
CN(C)CCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
cccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0065
cc(CN)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
ccco,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0063
cccCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
Cc(o)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
cccN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0058
cN(C)C,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0056
cC(c)=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0043
ccoc,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0042
CNcc,0.0000,0.7500,0.0000,0.0000,0.5000,0.0000,0.0042
cC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
ccc(c)c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
ccCCN,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0038
cCccc,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0038
ccc(C=O)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
Ccc,0.0000,1.2500,0.0000,0.3333,0.0000,0.0000,0.0036
ccc[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cC(=O)NC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
cccC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
CCN(C=O)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
c1ccoc1,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
cCcc,0.0000,0.2500,0.0000,0.0000,2.0000,0.0000,0.0032
CN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0027
cc(c)[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0024
