subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cc(N)c,0.0000,1.7500,0.0000,0.6667,0.0000,0.0000,0.0243
Cc(c)c,0.0000,0.7500,0.0000,0.6667,1.5000,0.8905,0.0238
CNC,0.0000,2.2500,0.0000,0.0000,0.0000,,0.0230
c[nH]c(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0229
cNC,0.0000,0.7500,0.0000,0.0000,0.5000,0.0000,0.0214
ccCC,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0195
cc[nH],0.0000,0.7500,0.0000,0.0000,0.0000,,0.0188
ccc[nH]cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0188
ccccc(C)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0183
ccCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0157
Cc(c)ccc,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0155
cCCC,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0141
O=Cco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0137
CCC,3.6667,0.0000,0.0000,0.0000,4.5000,0.0000,0.0135
ccccO,0.3333,0.0000,0.0000,0.3333,1.0000,0.8113,0.0115
cccc(c)c,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0110
cc[nH]cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0109
ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0094
cCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0093
cC(=O)c(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0089
NCco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0087
Cccccc,0.0000,0.2500,0.0000,0.3333,0.5000,0.9710,0.0083
CCC=O,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0081
ccccC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0081
cCNc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0080
CN(CC)CC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0072
CC=O,0.5000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0071
cc(C=O)c,0.0000,0.5000,0.0000,0.3333,0.0000,0.0000,0.0070
Ccocc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0069
CN(C)CCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
cccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0065
cc(CN)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
ccCC=O,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0063
ccco,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0063
CC(C)N,1.5000,0.0000,0.0000,0.0000,2.5000,0.0000,0.0063
