subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
Cc(c)cc,0.0,0.25,0.0,0.3333333333333333,0.5,0.9709505944546685,0.003787878787878788
cc(O)c,0.3333333333333333,0.5,0.9709505944546685,0.3333333333333333,0.0,0.0,0.003787878787878786
ccC,2.6666666666666665,1.25,0.9034535552068337,1.0,0.0,0.0,0.003705307038640373
cC(c)C,0.5,0.0,0.0,0.0,0.0,,0.003607503607503608
O=Cco,0.0,0.5,0.0,0.0,0.0,,0.003607503607503608
ccccC,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.003527336860670194
cNC,0.0,0.5,0.0,0.0,1.0,0.0,0.00320666987333654
cc(c)c,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.0030784030784030787
ccOcc,0.5,0.0,0.0,0.0,0.0,,0.002705627705627705
c[nH],0.0,0.25,0.0,0.0,0.0,,0.002705627705627705
cc[nH]c,0.0,0.5,0.0,0.0,0.0,,0.0025252525252525255
CC(O)CN,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0025252525252525255
CC(C)(C)N,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0025252525252525255
cccc(C)cc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0024050024050024047
ccCCC=O,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0022446689113355778
Cc(c)c,0.0,0.25,0.0,0.0,0.5,0.0,0.0021043771043771043
cccN,0.16666666666666666,0.25,0.9709505944546685,0.6666666666666666,0.5,0.9852281360342514,0.0016835016835016834
cCCC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0016835016835016834
coc,0.0,0.25,0.0,0.0,0.0,,0.0
CNC=O,0.0,0.25,0.0,0.0,0.5,0.0,0.0
cc(C=O)o,0.0,0.25,0.0,0.0,0.0,,0.0
ccNCC,0.0,0.25,0.0,0.0,0.0,,0.0
CCC(=O)O,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0
cC(C)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccco,0.0,1.0,0.0,0.0,0.0,,0.0
cc(CC)c,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CCN(C)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cCcc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cccCC,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0
ccc(c)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cc(NC=O)c,0.0,0.25,0.0,0.0,0.0,,0.0
NCCCO,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccOC,0.6666666666666666,0.25,0.8453509366224364,1.3333333333333333,1.0,0.9852281360342514,0.0
c[C@@H](C)C=O,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccCC(C)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cccccC,0.5,0.0,0.0,0.0,0.0,,0.0
C[C@@H](c)C,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0
CNcc,0.3333333333333333,0.25,0.9852281360342514,0.3333333333333333,0.0,0.0,0.0
CCCcc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cc(CCC)c,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cccc(C)c,0.0,0.25,0.0,0.0,0.0,,0.0
cc(c)N,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccCN,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
Ccc,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,0.9709505944546685,0.0
CCNCC,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.0
CCCN,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0
CC(C)O,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,0.0
OCCO,0.3333333333333333,0.0,0.0,0.0,1.5,0.0,0.0
CNccc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccc(CC)c,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CC(=O)N,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0
CC=O,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0
Cccccc,0.0,0.25,0.0,0.3333333333333333,0.5,0.9709505944546685,0.0
CC(C)N,1.0,0.0,0.0,0.0,1.5,0.0,0.0
ccN,0.3333333333333333,0.25,0.9852281360342514,0.6666666666666666,0.0,0.0,0.0
cC(c)=O,0.0,0.5,0.0,0.0,0.0,,0.0
Ccccccc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cC(N)=O,0.8333333333333334,1.0,0.9940302114769566,1.0,0.0,0.0,0.0
cOcc,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0
ccc(O)c,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccO,0.0,0.75,0.0,0.0,0.0,,0.0
NCCN,0.3333333333333333,0.75,0.8904916402194913,0.0,0.0,,0.0
CNCCN,0.6666666666666666,1.5,0.8904916402194913,0.0,0.0,,0.0
C1CNCCN1,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.0
cNC(=O)C,0.5,0.0,0.0,0.0,0.0,,0.0
CCO,0.6666666666666666,4.0,0.5916727785823274,0.0,1.5,0.0,0.0
cc[nH],0.0,0.5,0.0,0.0,0.0,,0.0
ccc(N)c,0.16666666666666666,0.25,0.9709505944546685,1.0,0.0,0.0,0.0
CNC(C)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
