iteration,n_union_subgraphs,n_train_subgraphs,n_valid_subgraphs,Accuracy,BAcc,Precision,Recall,F1_score,AUC,MCC
1,250,189,121,0.4000,0.3333,0.0000,0.0000,0.0000,0.1667,-0.4082
2,217,159,118,0.6000,0.5000,0.0000,0.0000,0.0000,0.3333,0.0000
3,214,161,114,0.6000,0.5000,0.0000,0.0000,0.0000,0.3333,0.0000
