subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
CNC,0.3333,5.0000,0.3373,0.0000,1.0000,0.0000,0.0538
Ccccc,0.0000,0.5000,0.0000,0.0000,1.0000,0.0000,0.0527
cN(C)C,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0217
ccCC,1.0000,0.0000,0.0000,0.0000,0.0000,,0.0203
c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0200
ccc[nH],0.0000,0.7500,0.0000,0.0000,0.0000,,0.0193
CCC,4.0000,0.0000,0.0000,0.0000,1.5000,0.0000,0.0179
CC=O,1.1667,0.0000,0.0000,0.0000,1.5000,0.0000,0.0159
ccNC=O,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0153
cccC=O,0.0000,0.2500,0.0000,0.6667,0.0000,0.0000,0.0151
CNC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0146
Cc(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0144
CC(C)C,3.1667,0.0000,0.0000,0.0000,0.0000,,0.0140
ccOCC,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0140
ccNC,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0137
cc(C)c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0128
cCCN,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0121
cc[nH]c,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0097
c[nH]ccCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0094
c[nH]ccC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0094
cCcc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0089
cc(N)c,0.3333,0.0000,0.0000,0.3333,0.0000,0.0000,0.0087
ccoc,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0085
ccCc(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0082
cNCCN,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0076
CCNCCNC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0069
cc(c)N,0.1667,0.0000,0.0000,0.0000,0.5000,0.0000,0.0067
CO,0.8333,0.0000,0.0000,0.6667,0.5000,0.9852,0.0067
CCN(C)C,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0064
Cccc,0.0000,0.5000,0.0000,0.6667,0.5000,0.9852,0.0064
cccc(O)c,0.1667,0.0000,0.0000,0.0000,0.5000,0.0000,0.0063
CccccC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0061
CN(C)C,0.1667,2.2500,0.3621,0.0000,0.0000,,0.0061
cc(c)[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0059
cccoc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
cCCCNc,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0056
c1ccoc1,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0056
cccc(c)[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0047
cccOCC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0045
CccccO,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0045
cc(C=O)c,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0045
Ccc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0043
NC(=O)co,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
CC(C)cc,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0042
CN(C=O)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
CNCC,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0042
cc(NC)cC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0038
cC(c)=O,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0038
CNC(C)C,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0038
Ccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0038
cCCC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0038
cc(O)cC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0036
Cc(c)cc,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0036
ccc(NC)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
CC(C)N,1.3333,0.0000,0.0000,0.0000,3.0000,0.0000,0.0036
CC(=O)O,1.1667,0.0000,0.0000,0.0000,0.0000,,0.0036
cNCCC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0034
c[nH]c(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
Ccc(O)c,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0034
ccc(c)C,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0029
OCCO,0.1667,0.0000,0.0000,0.0000,1.0000,0.0000,0.0028
ccco,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0027
Cc(c)ccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0027
CCC(=O)O,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0027
CCC=O,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0025
cCCC=O,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0025
cOcc,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0025
cNCCNCC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0024
CC(C)O,0.6667,0.0000,0.0000,0.0000,1.5000,0.0000,0.0004
ccc(CC)c,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0004
