subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cC=O,0.0000,2.0000,0.0000,0.6667,0.0000,0.0000,0.0717
ccC=O,0.0000,1.7500,0.0000,0.6667,0.0000,0.0000,0.0642
CNC,0.6667,5.7500,0.4812,0.0000,2.0000,0.0000,0.0436
ccC(N)=O,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0257
ccccN,0.0000,0.7500,0.0000,0.3333,0.0000,0.0000,0.0215
cc[nH],0.0000,1.0000,0.0000,0.0000,0.0000,,0.0204
cc(N)c,0.0000,0.7500,0.0000,0.3333,0.0000,0.0000,0.0198
CCcc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0183
ccco,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0158
cC(=O)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0145
ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0143
ccCC,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0141
cCCN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0104
C1CNCCN1,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0101
Ccc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0092
cC(c)=O,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0072
cC(=O)ccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
cccC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
cocC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
CNCCNcc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0055
c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0045
c[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0043
Ccccc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cNCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cc[nH]cc,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0042
CNccccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0038
cccOCC,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0038
cc(C=O)o,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
ccc[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
co,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
cc(CN)o,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0033
ccc(c)[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0027
cc[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0027
Ccccc,0.0000,0.2500,0.0000,0.0000,1.0000,0.0000,0.0026
ccoc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0022
