subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cC=O,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.07170113836780503
ccC=O,0.0,1.75,0.0,0.6666666666666666,0.0,0.0,0.06415183581850249
c1ccccc1,0.5,1.5,0.8112781244591328,0.0,0.5,0.0,0.05834135000801667
CNC,0.6666666666666666,5.75,0.481225663841737,0.0,2.0,0.0,0.043647453369675585
CCC,5.5,0.0,0.0,0.0,2.0,0.0,0.03732764149430816
ccC(N)=O,0.0,0.5,0.0,0.0,0.0,,0.02565335898669232
ccC,1.8333333333333333,1.75,0.9996098363678071,1.3333333333333333,0.0,0.0,0.024422799422799422
ccccc,4.333333333333333,6.0,0.9811522341999134,6.333333333333333,5.0,0.9899927915575186,0.022697210197210195
ccccN,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,0.02148468815135482
cc(C)c,1.5,1.5,1.0,2.0,0.0,0.0,0.02088773219725601
cc[nH],0.0,1.0,0.0,0.0,0.0,,0.02036235369568703
cc(N)c,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,0.019771123937790604
ccc,7.333333333333333,8.5,0.996079990851081,12.666666666666666,10.0,0.9899927915575186,0.018648789482122813
CCcc[nH],0.0,0.25,0.0,0.0,0.0,,0.018326118326118322
cccC,2.8333333333333335,2.0,0.9784493292686189,0.6666666666666666,0.0,0.0,0.017115600448933788
cccc,10.166666666666666,10.0,0.9999507304328823,13.0,11.5,0.9972943816462349,0.016534391534391533
ccco,0.0,1.0,0.0,0.0,0.0,,0.015782828282828284
CO,1.5,0.0,0.0,3.3333333333333335,0.0,0.0,0.015632515632515633
ccc(N)c,0.3333333333333333,1.75,0.634309554640566,0.0,0.0,,0.014911014911014908
cC(=O)cc,0.0,0.25,0.0,0.0,0.0,,0.014503500614611727
CC(C)C,3.3333333333333335,0.0,0.0,0.0,0.0,,0.01443001443001443
ccc[nH],0.0,0.5,0.0,0.0,0.0,,0.014309764309764309
ccCC,0.0,0.75,0.0,0.0,0.0,,0.014067660734327402
CccO,0.6666666666666666,0.0,0.0,0.0,0.0,,0.01346801346801347
cc(O)c,0.3333333333333333,0.75,0.8904916402194913,0.0,0.5,0.0,0.012586179252845919
Cccc,0.16666666666666666,1.0,0.5916727785823274,0.0,0.0,,0.012085137085137082
CCNCC,0.3333333333333333,0.25,0.9852281360342514,0.0,1.0,0.0,0.011604136604136606
ccccO,0.3333333333333333,1.0,0.8112781244591328,0.0,1.0,0.0,0.011574074074074075
ccccC,0.5,0.25,0.9182958340544894,0.0,0.0,,0.011544011544011544
CC,0.16666666666666666,1.25,0.5225593745369407,0.0,1.0,0.0,0.01074635241301908
CCNCCN,0.3333333333333333,0.0,0.0,0.0,0.0,,0.01052188552188552
cCCN(C)C,0.0,0.25,0.0,0.0,0.0,,0.010381593714927048
CCC=O,0.6666666666666666,0.0,0.0,0.0,0.0,,0.010293410293410295
CC(=O)O,1.5,0.0,0.0,0.0,0.0,,0.010101010101010102
cC(N)=O,0.6666666666666666,1.25,0.9321115676166747,1.6666666666666667,0.0,0.0,0.010101010101010102
C1CNCCN1,0.0,0.75,0.0,0.0,0.0,,0.010101010101010102
ccc(C)c,1.1666666666666667,0.5,0.8812908992306926,0.0,0.0,,0.009620009620009622
Ccc[nH],0.0,0.25,0.0,0.0,0.0,,0.009219175885842553
CCN(C)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.008994708994708995
cOCC,0.3333333333333333,0.5,0.9709505944546685,0.0,0.5,0.0,0.008663734854211045
cccN,0.5,1.0,0.9182958340544894,0.3333333333333333,0.5,0.9709505944546685,0.007395382395382396
cC(c)=O,0.0,1.0,0.0,0.0,0.0,,0.007194965528298861
cC(=O)ccc,0.0,0.25,0.0,0.0,0.0,,0.006535594035594035
cccC=O,0.0,0.25,0.0,0.0,0.0,,0.006493506493506493
cocC=O,0.0,0.25,0.0,0.0,0.0,,0.005892255892255892
CN(C)C,0.5,0.75,0.9709505944546688,0.0,0.0,,0.005772005772005772
cc(C)cccC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.005772005772005772
CC=O,0.8333333333333334,0.0,0.0,0.0,1.5,0.0,0.005751964085297419
CNCCNcc,0.0,0.25,0.0,0.0,0.0,,0.0054713804713804725
CC(O)CN,0.16666666666666666,0.0,0.0,0.0,0.0,,0.005050505050505051
ccN,0.16666666666666666,0.5,0.8112781244591328,0.0,0.0,,0.00481000481000481
CC(=O)N,0.6666666666666666,0.0,0.0,0.0,1.5,0.0,0.0044893378226711555
Cc(c)cc,0.16666666666666666,0.5,0.8112781244591328,1.3333333333333333,0.0,0.0,0.0044893378226711555
c[nH],0.0,0.25,0.0,0.0,0.0,,0.0044893378226711555
cCccc,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.004329004329004329
c[nH]c,0.0,0.25,0.0,0.0,0.0,,0.004329004329004329
Ccccc[nH],0.0,0.25,0.0,0.0,0.0,,0.004208754208754209
ccOC,0.5,0.25,0.9182958340544894,1.3333333333333333,0.5,0.8453509366224364,0.004208754208754209
cNC=O,0.16666666666666666,0.5,0.8112781244591328,0.3333333333333333,0.0,0.0,0.004208754208754208
cNCCNC,0.0,0.25,0.0,0.0,0.0,,0.004208754208754208
cc[nH]cc,0.0,0.5,0.0,0.0,0.0,,0.004208754208754208
CC(C)N,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.003787878787878788
CNccccc,0.0,0.25,0.0,0.0,0.0,,0.003787878787878788
cccOCC,0.0,0.5,0.0,0.0,0.0,,0.003787878787878788
cc(C=O)o,0.0,0.25,0.0,0.0,0.0,,0.003607503607503608
cccCN,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.003607503607503608
ccc[nH]c,0.0,0.25,0.0,0.0,0.0,,0.003607503607503608
